Player_ID,Age,Country,Studio_Region,Game_Title,Genre,Game_Mode,Platform,Device_Type,Sales_Channel,Game_Release_Year,Join_Date,Last_Login,Session_Start_Time,Session_End_Time,Daily_Playtime (mins),In_Game_Purchases ($),Units_Sold,Revenue_Generated ($),Membership_Tier,Favorite_Mode,Support_Tickets_Raised,Refund_Requested,Marketing_Source,Churned
P1023,,Brazil,Chennai,FIFA 24,Survival,Ranked,PC,iPhone 14,App Store,2021,2023-10-27,2025-06-11,18:29:00,20:37:00,128,88.43,2,176.86,Premium,Ranked,0,No,Ads,No
P1024,31.0,Brazil,Kolkata,Minecraft,Adventure,Solo,PC,Xbox Series X,App Store,2021,2021-03-26,2022-01-21,08:02:00,09:19:00,77,196.79,5,983.95,Premium,Solo,0,No,In-Game Promo,Yes
P1025,25.0,Canada,Kolkata,Apex Legends,Survival,Team Deathmatch,PC,Xbox Series X,Steam,2019,2023-10-08,2024-05-19,13:51:00,16:18:00,147,92.91,5,464.55,Free,Solo,0,No,Influencer,Yes
P1026,33.0,Germany,Chennai,Minecraft,Adventure,Team Deathmatch,Mobile,Gaming PC,PlayStation Store,2025,2024-01-18,2024-10-09,15:53:00,18:51:00,178,55.46,5,277.3,Free,Solo,0,No,Ads,Yes
P1027,31.0,USA,Pune,FIFA 24,Sports,Ranked,PC,xbox,PlayStation Store,2021,2023-04-18,2025-03-28,12:45:00,13:54:00,69,12.85,4,51.4,Free,Team,0,No,Referral,Yes
P1028,39.0,Germany,Chennai,Minecraft,FPS,Ranked,Console,Gaming PC,Steam,2023,2022-05-08,2024-07-14,21:34:00,00:08:00,-1286,159.97,2,319.94,Free,Team,0,No,Ads,Yes
P1029,37.0,UK,Kolkata,Minecraft,Survival,Battle Royale,Console,Xbox Series X,Steam,2024,2019-04-22,2020-03-30,21:08:00,23:21:00,133,36.35,3,109.05,Free,Solo,0,No,YouTube,Yes
P1030,37.0,UK,Delhi,FIFA 24,FPS,Team Deathmatch,PC,Switch,Steam,2023,2021-07-07,2025-02-27,10:49:00,11:14:00,25,150.85,2,301.7,Free,Solo,1,No,Referral,Yes
P1031,,,Kolkata,Call of Duty,Adventure,Battle Royale,Console,Switch,App Store,2023,2020-11-18,2024-04-11,11:49:00,12:45:00,56,192.94,1,192.94,Premium,Team,1,No,Influencer,Yes
P1032,38.0,Canada,Hyderabad,Call of Duty,Adventure,Battle Royale,PC,Switch,App Store,2019,2019-06-18,2023-05-10,21:42:00,23:31:00,109,13.79,3,41.37,Free,Team,2,No,Ads,Yes
P1033,,UK,Kolkata,Apex Legends,Strategy,Battle Royale,Console,Xbox,App Store,2025,2024-03-19,2024-10-28,16:20:00,17:37:00,77,166.15,1,166.15,Free,,0,No,Influencer,Yes
P1034,37.0,UK,Bangalore,Apex Legends,Sports,Battle Royale,Console,Xbox Series X,App Store,2022,2022-10-26,2023-08-08,16:35:00,16:52:00,17,103.33 USD,2,206.66,Free,Ranked,0,No,In-Game Promo,Yes
P1035,28.0,Canada,Delhi,Minecraft,Strategy,Team Deathmatch,Console,Ps5,Steam,2022,2021-06-26,2023-10-02,15:19:00,18:02:00,163,73.8,5,369.0,Premium,Team,4,Yes,In-Game Promo,Yes
P1036,34.0,UK,Kolkata,Apex Legends,Sports,Solo,Console,Xbox Series X,Steam,2021,2022-07-16,2023-03-17,13:12:00,14:22:00,70,147.72,3,443.16,Premium,,1,No,Ads,Yes
P1037,,UK,Hyderabad,FIFA 24,Battle Royale,Solo,PC,Switch,PlayStation Store,2022,2019-07-06,2020-02-14,17:44:00,18:31:00,47,127.57,4,510.28,Free,Solo,1,No,Influencer,Yes
P1038,43.0,Germany,Pune,Fortnite,FPS,Solo,Console,PS5,Steam,2024,2024-07-07,2024-08-13,09:09:00,10:02:00,53,162.23,3,486.69,Free,Solo,0,No,Influencer,Yes
P1039,27.0,Brazil,Delhi,Apex Legends,Survival,Solo,Mobile,Gaming PC,App Store,2018,2020-02-11,2025-06-04,14:40:00,15:49:00,69,52.93,1,52.93,Free,Solo,1,No,Referral,No
P1040,13.0,Germany,Delhi,Minecraft,Adventure,Team Deathmatch,Console,ps5,PlayStation Store,2022,2022-03-04,2024-09-18,10:43:00,11:57:00,74,184.78,5,923.9,Premium,Solo,0,No,In-Game Promo,Yes
P1041,27.0,Canada,Hyderabad,FIFA 24,Battle Royale,Zombies,PC,XboxSeriesX,App Store,2022,2023-12-04,2024-04-09,22:44:00,00:16:00,-1348,139.95,3,419.85,Premium,Team,0,No,In-Game Promo,Yes
P1042,15.0,Germany,Kolkata,FIFA 24,Adventure,Solo,PC,PS5,PlayStation Store,2018,2022-01-08,2025-04-02,09:48:00,10:47:00,59,94.1,4,376.4,VIP,Solo,4,Yes,Influencer,Yes
P1043,44.0,India,Delhi,FIFA 24,,Solo,Console,Switch,Steam,2020,2022-09-12,2023-11-07,23:18:00,01:15:00,-1323,162.71,5,813.55,Free,Solo,0,No,YouTube,Yes
P1044,,Germany,Chennai,Call of Duty,Strategy,Ranked,Console,Gaming PC,Steam,2021,2024-10-24,2025-01-24,23:40:00,01:48:00,-1312,152.0,2,304.0,Free,Solo,3,Yes,Influencer,Yes
P1045,44.0,India,Bangalore,Minecraft,Adventure,Battle Royale,Mobile,Xbox Series X,App Store,2018,2023-07-30,2023-11-02,15:53:00,16:37:00,44,92.29,1,92.29,Premium,Solo,0,No,YouTube,Yes
P1046,45.0,Canada,Pune,Apex Legends,Survival,Team Deathmatch,PC,Gaming PC,PlayStation Store,2024,2021-02-19,2024-06-30,12:55:00,13:27:00,32,55.25,4,221.0,Free,Ranked,0,No,Ads,Yes
P1047,31.0,,Pune,PUBG,Adventure,Team Deathmatch,PC,Gaming PC,Company Website,2023,2022-09-23,2024-04-10,20:29:00,22:06:00,97,,2,347.84,Premium,Solo,3,Yes,Influencer,Yes
P1048,15.0,UK,Kolkata,Apex Legends,Strategy,Team Deathmatch,Console,,PlayStation Store,2025,2019-06-01,2020-10-30,18:55:00,19:35:00,40,174.84,4,699.36,Free,Team,0,No,Referral,Yes
P1049,39.0,,Hyderabad,Call of Duty,Survival,Solo,Console,Android Tablet,Company Website,2019,2022-09-07,2024-10-24,18:40:00,20:59:00,139,174.48,1,174.48,Premium,Solo,1,No,YouTube,Yes
P1050,,,Bangalore,Apex Legends,FPS,Zombies,Console,Xbox Series X,App Store,2018,2019-07-08,2023-02-25,09:18:00,11:04:00,106,74.97,2,149.94,Free,,1,No,Referral,Yes
P1051,23.0,USA,Bangalore,PUBG,Survival,Ranked,Mobile,Xbox Series X,Company Website,2020,2021-08-09,2024-03-10,16:29:00,17:49:00,80,133.37,4,533.48,VIP,Ranked,1,No,Ads,Yes
P1052,41.0,,Chennai,FIFA 24,Strategy,Team Deathmatch,Mobile,,Company Website,2022,2021-03-26,2023-05-22,23:06:00,00:21:00,-1365,76.27,3,228.81,Premium,Ranked,0,No,Influencer,Yes
P1053,30.0,India,Chennai,Minecraft,,Zombies,Mobile,Switch,Company Website,2022,2021-07-31,2024-12-25,19:14:00,22:11:00,177,38.03,3,114.09,Premium,Ranked,2,No,Referral,Yes
P1054,19.0,Canada,Kolkata,Call of Duty,Sports,Team Deathmatch,PC,Android Tablet,App Store,2020,2020-01-05,2025-02-09,17:20:00,19:21:00,121,35.13,2,70.26,Premium,Team,1,No,YouTube,Yes
P1055,23.0,UK,Delhi,FIFA 24,Strategy,Solo,PC,Gaming PC,Steam,2020,2021-07-13,2025-04-28,20:54:00,23:31:00,157,73.16,4,292.64,Free,Ranked,0,No,YouTube,Yes
P1056,29.0,Brazil,Delhi,Minecraft,Sports,Zombies,Mobile,Xbox Series X,Company Website,2018,2022-09-05,2023-12-02,10:40:00,12:53:00,133,181.88,3,545.64,Premium,,0,No,Ads,Yes
P1057,32.0,Germany,Bangalore,Call of Duty,Battle Royale,Ranked,PC,Gaming PC,Company Website,2023,2023-09-13,2025-05-06,12:56:00,14:57:00,121,130.98,4,523.92,Premium,Team,0,No,YouTube,No
P1058,26.0,Germany,Delhi,Fortnite,Sports,Zombies,Mobile,iPhone 14,App Store,2018,2023-06-19,2024-03-27,14:07:00,16:18:00,131,18.33,2,36.66,Premium,Ranked,4,Yes,Ads,Yes
P1059,34.0,USA,Hyderabad,PUBG,,Zombies,Mobile,Xbox Series X,PlayStation Store,2021,2022-09-07,2023-07-06,08:17:00,09:09:00,52,197.51,5,987.55,Free,Solo,0,No,Ads,Yes
P1060,21.0,India,Pune,Fortnite,Adventure,Solo,PC,Xbox Series X,App Store,2018,2020-06-03,2024-07-31,21:33:00,22:17:00,44,149.13,4,596.52,Free,Team,1,No,Ads,Yes
P1061,41.0,Brazil,Hyderabad,PUBG,FPS,Ranked,Console,Gaming PC,Steam,2018,2024-05-15,2024-12-06,21:43:00,22:25:00,42,,4,392.2,Free,Solo,0,No,Referral,Yes
P1062,17.0,,Pune,PUBG,Strategy,Ranked,Mobile,Switch,App Store,2024,2022-04-22,2024-11-06,21:06:00,21:50:00,44,170.56,5,852.8,Premium,Solo,0,No,Referral,Yes
P1063,,UK,Delhi,Apex Legends,Survival,Zombies,Console,Gaming PC,App Store,2022,2023-03-14,2023-08-17,23:04:00,23:42:00,38,166.35,1,166.35,Free,Ranked,2,No,Referral,Yes
P1064,16.0,Brazil,Chennai,PUBG,Sports,Zombies,Console,iPhone 14,Company Website,2018,2022-03-24,2023-12-23,19:06:00,21:48:00,162,,2,202.96,Premium,Solo,2,No,YouTube,Yes
P1065,,India,Pune,PUBG,Battle Royale,Team Deathmatch,Mobile,Android Tablet,Steam,2022,2019-04-29,2021-05-06,16:44:00,18:18:00,94,184.31,3,552.93,Free,,1,No,Influencer,Yes
P1066,17.0,USA,Kolkata,Minecraft,FPS,Zombies,Mobile,Android Tablet,PlayStation Store,2024,2023-09-16,2024-12-23,18:10:00,19:59:00,109,62.33,3,186.99,Premium,Ranked,1,No,Ads,Yes
P1067,22.0,USA,Chennai,Call of Duty,Strategy,Zombies,Console,,Company Website,2025,2023-12-16,2025-02-12,16:13:00,18:39:00,146,22.76,4,91.04,Free,Ranked,1,No,Influencer,Yes
P1068,32.0,India,Hyderabad,Apex Legends,Adventure,Zombies,PC,Xbox Series X,App Store,2021,2020-07-16,2024-10-28,16:18:00,17:56:00,98,24.0 USD,4,96.0,Premium,Solo,0,No,In-Game Promo,Yes
P1069,27.0,Brazil,Chennai,Minecraft,Sports,Zombies,Console,Switch,Steam,2024,2019-03-18,2024-05-13,10:55:00,12:30:00,95,,5,575.75,Free,Ranked,0,No,Ads,Yes
P1070,38.0,,Pune,Fortnite,Adventure,Team Deathmatch,Mobile,iPhone 14,Steam,2024,2020-03-09,2021-07-20,21:37:00,23:34:00,117,104.79,4,419.16,VIP,,0,No,YouTube,Yes
P1071,23.0,India,Chennai,Minecraft,FPS,Ranked,Mobile,Xbox Series X,App Store,2023,2020-08-27,2021-12-23,11:09:00,12:29:00,80,39.45,5,197.25,Free,Ranked,0,No,Influencer,Yes
P1072,42.0,Brazil,Chennai,Apex Legends,Strategy,Ranked,Mobile,Switch,App Store,2023,2020-09-10,2023-02-27,10:30:00,12:38:00,128,126.28,3,378.84,Premium,Team,1,No,YouTube,Yes
P1073,42.0,Germany,Bangalore,Call of Duty,Sports,Solo,PC,Switch,Steam,2024,2024-03-10,2025-01-01,09:28:00,12:09:00,161,130.37,3,391.11,Premium,Ranked,0,No,Ads,Yes
P1074,41.0,India,Pune,Minecraft,FPS,Ranked,Mobile,Xbox Series X,Steam,2021,2023-11-29,2025-02-20,13:23:00,15:13:00,110,183.59,4,734.36,Free,Team,1,No,Ads,Yes
P1075,34.0,India,Pune,Call of Duty,,Team Deathmatch,Console,iPhone 14,PlayStation Store,2023,2019-11-30,2023-03-07,12:58:00,14:42:00,104,62.05,4,248.2,Free,Ranked,3,Yes,YouTube,Yes
P1076,37.0,Canada,Pune,Fortnite,Strategy,Ranked,PC,Switch,Company Website,2023,2019-03-16,2023-04-09,17:11:00,18:20:00,69,68.35,4,273.4,Free,Solo,0,No,YouTube,Yes
P1077,19.0,Brazil,Chennai,Minecraft,Adventure,Zombies,Mobile,iPhone 14,PlayStation Store,2024,2020-09-23,2021-08-21,13:53:00,16:47:00,174,161.81,2,323.62,Premium,,0,No,Referral,Yes
P1078,41.0,Brazil,Pune,Minecraft,Survival,Battle Royale,Mobile,,App Store,2025,2021-03-05,2023-03-28,22:29:00,23:56:00,87,155.62,5,778.1,Premium,Solo,2,No,In-Game Promo,Yes
P1079,,UK,Bangalore,Minecraft,Survival,Solo,Mobile,PS5,Steam,2022,2019-12-10,2024-03-20,13:17:00,15:27:00,130,181.06,2,362.12,Premium,Solo,3,Yes,Referral,Yes
P1080,,UK,Bangalore,Apex Legends,FPS,Team Deathmatch,Mobile,iPhone 14,PlayStation Store,2024,2019-12-01,2022-01-06,15:01:00,16:37:00,96,186.17,3,558.51,Premium,Solo,0,No,Influencer,Yes
P1081,21.0,Canada,Delhi,Apex Legends,Adventure,Zombies,PC,Ps5,App Store,2021,2020-09-04,2023-10-02,21:07:00,22:35:00,88,47.53,1,47.53,Free,Team,1,No,In-Game Promo,Yes
P1082,42.0,India,Bangalore,Apex Legends,Adventure,Ranked,PC,,PlayStation Store,2020,2022-04-08,2024-09-03,08:39:00,10:24:00,105,48.11,4,192.44,Free,Ranked,0,No,YouTube,Yes
P1083,17.0,Brazil,Chennai,PUBG,Adventure,Ranked,PC,Gaming PC,Company Website,2018,2023-05-04,2024-05-20,16:47:00,17:06:00,19,71.42,1,71.42,Free,,1,No,Ads,Yes
P1084,,USA,Bangalore,FIFA 24,Adventure,Solo,Mobile,Xbox Series X,Company Website,2025,2021-01-16,2021-10-19,10:45:00,12:57:00,132,7.4,2,14.8,Free,Solo,3,Yes,YouTube,Yes
P1085,32.0,Brazil,Delhi,PUBG,Survival,Solo,PC,Switch,PlayStation Store,2022,2023-01-02,2025-06-02,09:55:00,11:34:00,99,,3,163.92,Free,Team,2,No,Influencer,No
P1086,34.0,USA,Delhi,Minecraft,Survival,Solo,Mobile,iPhone 14,Steam,2024,2019-11-20,2024-09-17,13:34:00,15:04:00,90,64.24,1,64.24,Free,Team,0,No,In-Game Promo,Yes
P1087,40.0,USA,Kolkata,Apex Legends,Sports,Team Deathmatch,PC,Switch,App Store,2024,2022-01-29,2022-05-26,10:42:00,13:40:00,178,81.24,5,406.2,Premium,Ranked,0,No,Ads,Yes
P1088,,Brazil,Kolkata,Apex Legends,FPS,Battle Royale,PC,Xbox Series X,App Store,2023,2023-04-18,2024-11-18,09:38:00,10:32:00,54,135.81,3,407.43,Free,Solo,1,No,In-Game Promo,Yes
P1089,36.0,Germany,Pune,Minecraft,Sports,Battle Royale,PC,PS5,PlayStation Store,2025,2024-10-21,2025-01-28,11:16:00,12:37:00,81,140.81,2,281.62,VIP,Team,1,No,Influencer,Yes
P1090,25.0,India,Hyderabad,Call of Duty,,Battle Royale,Mobile,Gaming PC,Steam,2023,2022-11-24,2024-11-19,10:35:00,13:08:00,153,58.07,3,174.21,VIP,Ranked,2,No,Referral,Yes
P1091,36.0,Brazil,Hyderabad,Call of Duty,Battle Royale,Battle Royale,PC,Gaming PC,Steam,2023,2023-02-20,2024-06-12,12:39:00,13:16:00,37,13.15,4,52.6,VIP,Ranked,0,No,Influencer,Yes
P1092,39.0,Brazil,Bangalore,Fortnite,Sports,Zombies,Console,Gaming PC,App Store,2020,2021-01-15,2025-05-06,12:27:00,14:50:00,143,182.14,1,182.14,Premium,Ranked,0,No,Referral,No
P1093,,UK,Kolkata,Fortnite,,Ranked,Console,PS5,App Store,2021,2022-01-29,2022-10-12,17:39:00,20:10:00,151,18.69,2,37.38,Premium,Ranked,0,No,In-Game Promo,Yes
P1094,34.0,Brazil,Bangalore,Call of Duty,FPS,Zombies,Mobile,Android Tablet,App Store,2021,2023-09-03,2025-05-27,08:31:00,11:26:00,175,109.12,3,327.36,Free,Ranked,0,No,Influencer,No
P1095,17.0,,Bangalore,Fortnite,Survival,Team Deathmatch,Console,Gaming PC,PlayStation Store,2023,2020-08-11,2022-05-13,18:46:00,20:29:00,103,195.07,2,390.14,Premium,Ranked,1,No,YouTube,Yes
P1096,28.0,Germany,Bangalore,FIFA 24,Survival,Battle Royale,PC,,Steam,2022,2023-04-23,2025-01-12,21:15:00,22:10:00,55,,5,813.5,Premium,Solo,2,No,Influencer,Yes
P1097,45.0,,Delhi,FIFA 24,,Zombies,PC,Gaming PC,Company Website,2021,2021-05-31,2024-09-06,19:03:00,19:30:00,27,56.27,5,281.35,VIP,Ranked,1,No,YouTube,Yes
P1098,13.0,India,Delhi,Fortnite,Sports,Solo,Console,iPhone 14,Steam,2024,2019-07-29,2021-10-03,19:35:00,21:03:00,88,14.71,5,73.55,Free,Ranked,0,No,In-Game Promo,Yes
P1099,20.0,,Bangalore,Apex Legends,Sports,Solo,Mobile,iPhone 14,PlayStation Store,2021,2024-09-16,2025-04-09,09:02:00,09:26:00,24,27.41,3,82.23,Premium,Ranked,0,No,In-Game Promo,Yes
P1100,45.0,USA,Pune,PUBG,Sports,Battle Royale,Console,Android Tablet,App Store,2023,2024-09-08,2025-05-26,23:45:00,02:24:00,-1281,59.96,1,59.96,Free,Ranked,0,No,Influencer,No
P1101,,,Kolkata,Minecraft,,Ranked,Console,iPhone 14,PlayStation Store,2018,2024-05-21,2024-08-16,20:09:00,21:26:00,77,6.31,1,6.31,Free,Team,0,No,Referral,Yes
P1102,39.0,Canada,Hyderabad,Apex Legends,Adventure,Ranked,Console,Switch,Steam,2020,2024-10-25,2024-12-17,18:42:00,20:59:00,137,105.1,3,315.3,VIP,Team,3,Yes,YouTube,Yes
P1103,35.0,Canada,Kolkata,Minecraft,,Solo,Mobile,Gaming PC,PlayStation Store,2021,2022-02-16,2025-04-03,17:14:00,18:45:00,91,154.23 USD,2,308.46,Premium,,0,No,YouTube,Yes
P1104,30.0,UK,Bangalore,PUBG,Strategy,Ranked,Console,,App Store,2020,2022-04-04,2022-06-29,17:45:00,18:20:00,35,69.27,4,277.08,Premium,Ranked,0,No,Referral,Yes
P1105,30.0,Brazil,Kolkata,FIFA 24,Battle Royale,Zombies,Mobile,Switch,PlayStation Store,2021,2019-07-27,2022-02-05,15:03:00,15:43:00,40,82.66,4,330.64,Free,Solo,0,No,In-Game Promo,Yes
P1106,23.0,Germany,Kolkata,Apex Legends,Survival,Battle Royale,Console,iPhone 14,App Store,2018,2020-01-02,2023-08-29,15:34:00,15:58:00,24,182.65,2,365.3,Free,Solo,3,Yes,Ads,Yes
P1107,38.0,Germany,Hyderabad,Minecraft,,Zombies,PC,iPhone 14,Steam,2023,2022-03-11,2024-09-26,23:56:00,00:45:00,-1391,170.21,4,680.84,Free,,0,No,Influencer,Yes
P1108,29.0,Canada,Hyderabad,Call of Duty,Strategy,Solo,Console,Android Tablet,PlayStation Store,2020,2023-07-19,2024-09-28,18:05:00,20:02:00,117,133.85,2,267.7,VIP,,0,No,Referral,Yes
P1109,13.0,UK,Delhi,Fortnite,Survival,Solo,Console,iPhone 14,Steam,2022,2023-01-12,2024-12-21,15:03:00,15:48:00,45,93.08,2,186.16,Free,Ranked,3,Yes,YouTube,Yes
P1110,20.0,Canada,Pune,FIFA 24,Adventure,Battle Royale,PC,Xbox Series X,Company Website,2020,2024-02-07,2025-02-23,19:26:00,22:01:00,155,182.56,5,912.8,Premium,Solo,2,No,In-Game Promo,Yes
P1111,18.0,Brazil,Delhi,PUBG,Strategy,Solo,PC,Android Tablet,Steam,2018,2024-09-01,2024-12-13,12:10:00,13:48:00,98,170.9,4,683.6,Free,Solo,2,No,Influencer,Yes
P1112,18.0,Brazil,Delhi,Call of Duty,Survival,Battle Royale,Mobile,Gaming PC,Company Website,2018,2024-03-08,2025-02-15,17:46:00,18:06:00,20,79.19,1,79.19,Premium,Ranked,0,No,Influencer,Yes
P1113,35.0,,Bangalore,PUBG,FPS,Zombies,Console,PS5,App Store,2024,2021-01-07,2025-04-30,12:49:00,15:48:00,179,,4,782.68,Free,Team,0,No,Influencer,Yes
P1114,37.0,India,Kolkata,Minecraft,Adventure,Battle Royale,Mobile,iPhone 14,Steam,2020,2023-05-29,2024-11-20,12:46:00,13:58:00,72,166.96,1,166.96,VIP,Team,1,No,In-Game Promo,Yes
P1115,40.0,Brazil,Delhi,Fortnite,Battle Royale,Team Deathmatch,Console,Xbox,App Store,2021,2020-04-07,2020-06-11,21:39:00,21:58:00,19,48.13,1,48.13,Free,,0,No,Ads,Yes
P1116,28.0,Canada,Bangalore,Apex Legends,Survival,Battle Royale,Mobile,Xbox Series X,Steam,2020,2024-08-25,2025-01-20,15:52:00,18:34:00,162,63.78,5,318.9,Premium,Team,0,No,Referral,Yes
P1117,27.0,Germany,Pune,FIFA 24,FPS,Ranked,Mobile,Switch,PlayStation Store,2024,2024-07-23,2024-08-16,19:41:00,21:33:00,112,157.16,3,471.48,Premium,Team,0,No,Influencer,Yes
P1118,24.0,Brazil,Delhi,Fortnite,Battle Royale,Solo,Mobile,Xbox,Company Website,2018,2023-08-18,2024-10-17,12:24:00,13:41:00,77,,3,153.0,Premium,Team,2,No,Ads,Yes
P1119,25.0,,Pune,Apex Legends,,Ranked,Mobile,PS5,Steam,2021,2021-06-07,2024-02-13,14:55:00,16:35:00,100,nan USD,1,60.64,Free,Solo,4,Yes,Ads,Yes
P1120,43.0,USA,Kolkata,PUBG,Strategy,Battle Royale,Console,Xbox Series X,App Store,2022,2023-04-09,2024-07-29,19:19:00,20:40:00,81,71.93,4,287.72,Free,Ranked,0,No,YouTube,Yes
P1121,26.0,UK,Pune,Apex Legends,FPS,Ranked,PC,Switch,PlayStation Store,2018,2021-12-04,2025-01-10,21:18:00,22:12:00,54,39.24,2,78.48,Free,Solo,0,No,YouTube,Yes
P1122,29.0,Germany,Kolkata,Minecraft,Strategy,Team Deathmatch,Console,Xbox Series X,App Store,2020,2020-07-27,2024-08-10,23:11:00,01:44:00,-1287,198.06 USD,1,198.06,Premium,Solo,3,Yes,Ads,Yes
P1123,13.0,Germany,Hyderabad,Minecraft,Battle Royale,Zombies,Mobile,Xbox Series X,Steam,2021,2024-09-02,2025-04-23,19:03:00,21:56:00,173,,5,637.75,VIP,Ranked,0,No,Ads,Yes
P1124,39.0,India,Bangalore,PUBG,Strategy,Solo,Mobile,iPhone 14,Steam,2024,2021-01-04,2021-08-11,11:33:00,12:26:00,53,48.19,5,240.95,Premium,Team,0,No,Influencer,Yes
